Log_ID,Timestamp,Equipment_ID,Equipment_Type,Location,Operator_Shift_Hours,Payload_Weight_lbs,Reported_Incident,Is_Violation,Violation_Type,Expected_Section
LOG-1396,2026-04-02 09:00,GAN-97,Gantry Crane,Bay 2,9.4,36558,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1397,2026-04-02 02:38,YAR-17,Yard Hostler,High-Voltage Line B,7.3,52559,No exception noted,0,None,None
LOG-1398,2026-03-30 21:48,CON-16,Container Handler,Intermodal Ramp,9.3,58688,Worker on the container roof at eight feet with no fall protection rigged,1,fall_protection,1910.28
LOG-1399,2026-03-30 21:54,GAN-79,Gantry Crane,Container Stack Row C,6.4,22215,No exception noted,0,None,None
LOG-1400,2026-03-31 04:40,TER-55,Terminal Tractor,Bay 4,6.6,15270,No exception noted,0,None,None
LOG-1401,2026-03-31 04:47,REA-74,Reach Stacker,Intermodal Ramp,8.1,35599,Duty record completed and countersigned by the supervisor,0,None,None
LOG-1402,2026-04-01 14:24,YAR-65,Yard Hostler,Wheel Shop,6.6,28070,Container transferred and seals verified against the manifest,0,None,None
LOG-1403,2026-03-31 11:44,CON-55,Container Handler,Bay 2,10.8,54295,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1404,2026-03-31 18:36,GAN-26,Gantry Crane,Bay 1,10.6,44384,Truck with failed service brake returned to yard duty without repair,1,truck_defect,1910.178
LOG-1405,2026-04-02 04:30,TER-15,Terminal Tractor,Rail Siding 3,8.2,16774,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1406,2026-03-30 15:50,CON-46,Container Handler,Maintenance Track,8.5,41929,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1407,2026-04-02 11:45,TER-33,Terminal Tractor,Container Stack Row C,6.1,12942,Edge work performed from an aerial lift with the harness attached,0,None,None
LOG-1408,2026-03-30 16:00,CON-94,Container Handler,Wheel Shop,9.8,26901,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1409,2026-03-30 22:54,REA-63,Reach Stacker,Intermodal Ramp,9.3,19166,Elevated platform rail installed well below the required height,1,guardrail,1910.29
LOG-1410,2026-04-01 09:10,FOR-87,Forklift,Bay 1,9.6,45776,No exception noted,0,None,None
LOG-1411,2026-04-01 09:21,CON-86,Container Handler,High-Voltage Line B,8.2,14860,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1412,2026-04-01 23:16,FOR-25,Forklift,Bay 2,10.1,23465,No exception noted,0,None,None
LOG-1413,2026-03-30 23:18,YAR-11,Yard Hostler,Maintenance Track,10.3,39213,Container transferred and seals verified against the manifest,0,None,None
LOG-1414,2026-04-01 23:42,YAR-71,Yard Hostler,Bay 4,10.4,36805,No exception noted,0,None,None
LOG-1415,2026-04-02 06:50,REA-32,Reach Stacker,Bay 1,6.9,61349,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1416,2026-03-29 19:52,CON-44,Container Handler,Bay 1,9.8,56429,No exception noted,0,None,None
LOG-1417,2026-03-30 23:42,FOR-26,Forklift,Bay 1,8.9,25283,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1418,2026-04-01 03:40,CON-60,Container Handler,Bay 2,8.8,34380,Palletised freight left obstructing the designated traffic aisle,1,aisle_obstruction,1910.176
LOG-1419,2026-03-31 20:51,YAR-58,Yard Hostler,Intermodal Ramp,9.0,11392,Train employee logged out before the end of the permitted duty period,0,None,None
LOG-1420,2026-04-01 18:00,YAR-87,Yard Hostler,Bay 1,11.7,25463,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1421,2026-03-30 03:03,TER-63,Terminal Tractor,Main Pedestrian Crosswalk,11.8,10270,Duty record for the tour left unsigned and incomplete,1,duty_records,228.11
LOG-1422,2026-04-01 04:20,YAR-36,Yard Hostler,Maintenance Track,11.1,27029,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1423,2026-03-30 10:12,FOR-21,Forklift,Rail Siding 3,11.0,52060,No exception noted,0,None,None
LOG-1424,2026-03-31 00:24,CON-21,Container Handler,High-Voltage Line B,10.4,21230,No exception noted,0,None,None
LOG-1425,2026-03-30 10:20,GAN-44,Gantry Crane,Loading Dock 2,10.5,45736,Elevated platform rail installed well below the required height,1,guardrail,1910.29
LOG-1426,2026-03-30 17:30,CON-83,Container Handler,Container Stack Row C,6.6,44680,Duty record completed and countersigned by the supervisor,0,None,None
LOG-1427,2026-04-02 09:38,GAN-30,Gantry Crane,Bay 4,7.7,54099,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1428,2026-03-31 15:04,GAN-53,Gantry Crane,Main Pedestrian Crosswalk,8.2,46116,No exception noted,0,None,None
LOG-1429,2026-03-31 22:21,CON-64,Container Handler,Wheel Shop,8.7,47009,Duty record for the tour left unsigned and incomplete,1,duty_records,228.11
LOG-1430,2026-04-01 12:50,TER-44,Terminal Tractor,Container Stack Row C,12.0,38695,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1431,2026-03-31 22:39,TER-57,Terminal Tractor,High-Voltage Line B,11.4,44397,No exception noted,0,None,None
LOG-1432,2026-03-31 08:24,FOR-96,Forklift,Bay 4,10.3,52625,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1433,2026-04-01 13:23,GAN-67,Gantry Crane,Bay 4,11.6,45490,No exception noted,0,None,None
LOG-1434,2026-04-02 11:16,YAR-88,Yard Hostler,Intermodal Ramp,11.2,51757,Portable dockboard shifted under the forklift with no securing device fitted,1,dockboard,1910.26
LOG-1435,2026-03-29 20:30,YAR-97,Yard Hostler,Rail Siding 3,8.8,29864,No exception noted,0,None,None
LOG-1436,2026-03-31 01:36,FOR-63,Forklift,Maintenance Track,6.9,28087,Container transferred and seals verified against the manifest,0,None,None
LOG-1437,2026-03-30 11:08,GAN-71,Gantry Crane,Maintenance Track,6.4,25634,Panel left open with energised parts exposed to the walkway,1,live_parts,1910.303
LOG-1438,2026-03-31 16:24,YAR-67,Yard Hostler,Loading Dock 2,10.4,15174,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1439,2026-03-29 20:38,FOR-18,Forklift,Maintenance Track,6.4,38435,Portable ladder with a cracked side rail used to reach the container roof,1,ladder,1910.23
LOG-1440,2026-03-31 16:40,YAR-46,Yard Hostler,Bay 2,11.9,35131,No exception noted,0,None,None
LOG-1441,2026-03-31 02:06,REA-63,Reach Stacker,Maintenance Track,9.4,60809,No exception noted,0,None,None
LOG-1442,2026-04-02 05:46,YAR-56,Yard Hostler,Bay 2,14.2,61891,Covered switch employee continued yard moves past scheduled relief,1,duty_limit,21103
LOG-1443,2026-03-31 17:04,GAN-92,Gantry Crane,High-Voltage Line B,6.0,39111,Mast raised inside the approach boundary of a live overhead line,1,approach_distance,1910.333
LOG-1444,2026-04-02 21:00,CON-45,Container Handler,High-Voltage Line B,9.9,39196,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1445,2026-03-30 11:40,GAN-45,Gantry Crane,Wheel Shop,7.4,25283,Rim wheel serviced without deflating and without a restraining cage,1,rim_wheel,1910.177
LOG-1446,2026-04-02 14:04,GAN-87,Gantry Crane,Wheel Shop,9.1,63222,Rim wheel deflated and seated in the restraining device before service,0,None,None
LOG-1447,2026-03-30 04:21,YAR-50,Yard Hostler,Maintenance Track,9.2,19146,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1448,2026-04-02 07:04,YAR-42,Yard Hostler,Container Stack Row C,9.6,54137,No exception noted,0,None,None
LOG-1449,2026-03-29 20:58,FOR-59,Forklift,Container Stack Row C,8.1,35587,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1450,2026-03-31 03:00,GAN-83,Gantry Crane,High-Voltage Line B,10.7,24017,Enclosure verified closed and guarded before re-energising,0,None,None
LOG-1451,2026-03-30 19:35,REA-59,Reach Stacker,Container Stack Row C,9.5,10073,No exception noted,0,None,None
LOG-1452,2026-04-02 07:56,TER-33,Terminal Tractor,Maintenance Track,11.4,34620,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1453,2026-03-30 04:39,GAN-10,Gantry Crane,Rail Siding 3,6.5,47155,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1454,2026-04-01 02:06,TER-15,Terminal Tractor,Maintenance Track,8.3,17412,No exception noted,0,None,None
LOG-1455,2026-03-30 19:55,FOR-62,Forklift,Maintenance Track,7.3,54958,No exception noted,0,None,None
LOG-1456,2026-04-01 10:00,FOR-88,Forklift,Bay 4,7.8,10355,No exception noted,0,None,None
LOG-1457,2026-04-01 10:10,REA-32,Reach Stacker,High-Voltage Line B,9.1,53735,No exception noted,0,None,None
LOG-1458,2026-03-30 20:10,CON-51,Container Handler,Container Stack Row C,6.5,15117,Container transferred and seals verified against the manifest,0,None,None
LOG-1459,2026-03-30 12:36,CON-73,Container Handler,Maintenance Track,9.4,46045,Enclosure verified closed and guarded before re-energising,0,None,None
LOG-1460,2026-03-30 12:40,REA-11,Reach Stacker,Bay 2,10.4,35721,Container transferred and seals verified against the manifest,0,None,None
LOG-1461,2026-04-02 02:12,CON-99,Container Handler,Bay 2,11.2,53922,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1462,2026-03-31 04:12,YAR-74,Yard Hostler,Loading Dock 2,9.2,60930,No exception noted,0,None,None
LOG-1463,2026-03-31 04:18,GAN-46,Gantry Crane,High-Voltage Line B,10.8,43172,Stair run to the dispatch office in use with the handrail detached,1,stairway,1910.25
LOG-1464,2026-03-31 04:24,GAN-55,Gantry Crane,Wheel Shop,8.9,21520,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1465,2026-04-02 10:45,GAN-31,Gantry Crane,Maintenance Track,6.5,25205,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1466,2026-04-01 19:26,TER-89,Terminal Tractor,Rail Siding 3,7.4,24742,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1467,2026-04-02 18:58,FOR-74,Forklift,High-Voltage Line B,11.4,59640,No exception noted,0,None,None
LOG-1468,2026-03-30 21:00,YAR-63,Yard Hostler,Bay 4,9.6,29295,No exception noted,0,None,None
LOG-1469,2026-04-01 19:59,CON-29,Container Handler,Main Pedestrian Crosswalk,8.2,57588,Damaged ladder tagged out of service and removed from the area,0,None,None
LOG-1470,2026-03-30 21:10,YAR-29,Yard Hostler,Bay 1,11.4,52820,Relief crew arrived and the covered train employee was released on schedule,0,None,None
LOG-1471,2026-03-30 21:15,REA-95,Reach Stacker,Bay 2,9.4,45235,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1472,2026-04-01 12:40,FOR-93,Forklift,Intermodal Ramp,7.4,53445,Hydraulic fluid pooled across the marked walking route and left unattended,1,housekeeping,1910.22
LOG-1473,2026-04-03 04:15,GAN-46,Gantry Crane,Main Pedestrian Crosswalk,6.9,61733,No exception noted,0,None,None
LOG-1474,2026-04-03 04:30,YAR-38,Yard Hostler,Loading Dock 2,13.0,13260,Train employee remained on duty to complete consist tie-down,1,duty_limit,21103
LOG-1475,2026-03-30 21:35,REA-15,Reach Stacker,Maintenance Track,8.9,30951,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1476,2026-03-31 13:32,FOR-35,Forklift,Main Pedestrian Crosswalk,11.1,14780,No exception noted,0,None,None
LOG-1477,2026-04-02 13:21,REA-58,Reach Stacker,Bay 2,10.9,58029,Container transferred and seals verified against the manifest,0,None,None
LOG-1478,2026-04-01 05:42,FOR-24,Forklift,Bay 4,7.8,45952,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1479,2026-04-02 05:48,CON-40,Container Handler,Wheel Shop,11.9,56966,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1480,2026-04-01 22:00,YAR-50,Yard Hostler,Container Stack Row C,9.2,60135,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1481,2026-04-01 06:09,FOR-14,Forklift,Bay 2,7.6,53328,No exception noted,0,None,None
LOG-1482,2026-03-31 06:12,TER-84,Terminal Tractor,Bay 1,6.5,33882,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1483,2026-04-01 22:33,YAR-41,Yard Hostler,Wheel Shop,6.1,46947,Lift truck removed from service and tagged pending repair,0,None,None
LOG-1484,2026-03-30 06:12,GAN-67,Gantry Crane,Container Stack Row C,11.2,54701,No exception noted,0,None,None
LOG-1485,2026-04-03 07:15,TER-40,Terminal Tractor,Main Pedestrian Crosswalk,6.9,59491,Spilled coolant left across the marked pedestrian path,1,housekeeping,1910.22
LOG-1486,2026-04-02 07:12,YAR-55,Yard Hostler,Loading Dock 2,8.9,51196,No exception noted,0,None,None
LOG-1487,2026-04-01 07:03,TER-40,Terminal Tractor,Wheel Shop,11.3,55146,Work performed on an energised circuit without insulating gloves issued,1,electrical_ppe,1910.335
LOG-1488,2026-04-01 15:20,GAN-16,Gantry Crane,Wheel Shop,6.0,39974,Rim wheel deflated and seated in the restraining device before service,0,None,None
LOG-1489,2026-03-30 14:36,CON-12,Container Handler,Bay 2,9.8,52779,No exception noted,0,None,None
LOG-1490,2026-04-02 08:00,REA-26,Reach Stacker,Loading Dock 2,10.6,25551,Cargo stacked with a three-foot overhang blocking the marked aisle,1,aisle_obstruction,1910.176
LOG-1491,2026-04-01 15:50,REA-97,Reach Stacker,Bay 2,11.9,54036,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1492,2026-03-30 06:36,YAR-71,Yard Hostler,Intermodal Ramp,9.6,35366,Relief crew arrived and the covered train employee was released on schedule,0,None,None
LOG-1493,2026-03-29 22:26,TER-74,Terminal Tractor,Maintenance Track,11.5,18900,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1494,2026-04-03 09:30,REA-95,Reach Stacker,High-Voltage Line B,10.5,61841,No exception noted,0,None,None
LOG-1495,2026-04-01 16:30,YAR-97,Yard Hostler,Rail Siding 3,6.1,43177,Sling used with a crushed eye fitting and no legible capacity tag,1,sling,1910.184
LOG-1496,2026-03-30 23:20,CON-75,Container Handler,Intermodal Ramp,7.3,58588,Lift truck kept in service after the mast chain was found slack and frayed,1,truck_defect,1910.178
LOG-1497,2026-04-01 08:33,TER-45,Terminal Tractor,Container Stack Row C,9.4,62760,Container transferred and seals verified against the manifest,0,None,None
LOG-1498,2026-04-01 08:42,REA-84,Reach Stacker,Wheel Shop,6.1,22003,No exception noted,0,None,None
LOG-1499,2026-03-31 07:54,TER-65,Terminal Tractor,Wheel Shop,9.3,40877,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1500,2026-03-31 16:20,GAN-65,Gantry Crane,Bay 2,11.2,48230,No exception noted,0,None,None
LOG-1501,2026-04-03 11:15,YAR-48,Yard Hostler,Rail Siding 3,10.6,52375,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1502,2026-03-31 08:12,REA-30,Reach Stacker,Container Stack Row C,7.6,36821,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1503,2026-04-03 03:22,GAN-91,Gantry Crane,Rail Siding 3,6.9,53662,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1504,2026-04-02 10:48,CON-32,Container Handler,Loading Dock 2,11.2,34314,No exception noted,0,None,None
LOG-1505,2026-04-02 11:00,REA-19,Reach Stacker,Bay 4,6.9,14553,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1506,2026-04-01 09:54,TER-55,Terminal Tractor,Loading Dock 2,7.0,45112,No exception noted,0,None,None
LOG-1507,2026-03-31 00:15,FOR-60,Forklift,Wheel Shop,6.9,36951,Tyre inflated inside the cage by a trained servicer,0,None,None
LOG-1508,2026-03-30 07:24,FOR-11,Forklift,High-Voltage Line B,10.0,47778,Lift truck kept in service after the mast chain was found slack and frayed,1,truck_defect,1910.178
LOG-1509,2026-04-02 20:17,GAN-39,Gantry Crane,Bay 1,9.2,41299,No exception noted,0,None,None
LOG-1510,2026-04-02 12:00,GAN-22,Gantry Crane,Wheel Shop,7.1,63076,Container transferred and seals verified against the manifest,0,None,None
LOG-1511,2026-03-30 07:33,TER-67,Terminal Tractor,Wheel Shop,10.5,33230,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1512,2026-04-03 05:28,REA-12,Reach Stacker,Main Pedestrian Crosswalk,11.0,22349,No exception noted,0,None,None
LOG-1513,2026-03-31 09:18,YAR-55,Yard Hostler,Intermodal Ramp,11.0,64530,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1514,2026-03-29 23:08,TER-26,Terminal Tractor,Main Pedestrian Crosswalk,7.2,49846,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1515,2026-04-02 21:35,GAN-81,Gantry Crane,Bay 4,9.6,58389,No exception noted,0,None,None
LOG-1516,2026-04-02 04:36,GAN-64,Gantry Crane,Wheel Shop,9.0,49623,No exception noted,0,None,None
LOG-1517,2026-03-30 16:28,CON-58,Container Handler,Bay 1,10.6,12501,Elevated platform rail installed well below the required height,1,guardrail,1910.29
LOG-1518,2026-03-31 01:10,YAR-63,Yard Hostler,Rail Siding 3,9.2,36750,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1519,2026-03-31 01:15,YAR-40,Yard Hostler,Main Pedestrian Crosswalk,8.2,40175,No exception noted,0,None,None
LOG-1520,2026-04-02 22:40,CON-74,Container Handler,Bay 2,11.7,51196,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1521,2026-03-30 16:44,FOR-92,Forklift,Intermodal Ramp,11.4,48089,Gantry hoist operated with the periodic inspection more than a year overdue,1,crane_inspection,1910.179
LOG-1522,2026-03-31 01:30,YAR-93,Yard Hostler,Rail Siding 3,8.1,62733,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1523,2026-04-03 16:45,CON-15,Container Handler,Bay 4,9.1,63880,Container transferred and seals verified against the manifest,0,None,None
LOG-1524,2026-04-03 08:16,REA-59,Reach Stacker,Loading Dock 2,9.3,10086,Container transferred and seals verified against the manifest,0,None,None
LOG-1525,2026-04-02 06:15,YAR-19,Yard Hostler,Maintenance Track,7.1,12344,No exception noted,0,None,None
LOG-1526,2026-04-02 06:26,CON-99,Container Handler,Loading Dock 2,7.0,62192,No exception noted,0,None,None
LOG-1527,2026-04-01 13:03,GAN-55,Gantry Crane,Intermodal Ramp,8.5,27973,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1528,2026-04-01 13:12,FOR-24,Forklift,Intermodal Ramp,7.4,61571,Sling inspected before the lift with its capacity tag legible,0,None,None
LOG-1529,2026-04-03 00:37,GAN-45,Gantry Crane,Intermodal Ramp,10.7,29466,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1530,2026-04-03 09:40,GAN-28,Gantry Crane,Wheel Shop,9.2,47747,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1531,2026-04-02 07:21,FOR-24,Forklift,Main Pedestrian Crosswalk,9.4,25518,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1532,2026-04-03 01:16,YAR-63,Yard Hostler,Main Pedestrian Crosswalk,6.5,24254,Relief crew arrived and the covered train employee was released on schedule,0,None,None
LOG-1533,2026-03-29 23:46,YAR-45,Yard Hostler,Bay 1,9.9,36363,No exception noted,0,None,None
LOG-1534,2026-04-03 10:36,GAN-17,Gantry Crane,Wheel Shop,7.7,53792,Truck with failed service brake returned to yard duty without repair,1,truck_defect,1910.178
LOG-1535,2026-04-01 23:10,TER-95,Terminal Tractor,Loading Dock 2,10.3,42982,Marked route swept and confirmed dry at shift start,0,None,None
LOG-1536,2026-03-31 11:36,FOR-55,Forklift,Rail Siding 3,8.5,39245,No exception noted,0,None,None
LOG-1537,2026-03-30 17:48,REA-34,Reach Stacker,Maintenance Track,9.2,30346,Wire rope sling with twelve broken wires in one lay kept in the active lift,1,sling,1910.184
LOG-1538,2026-03-30 17:52,GAN-11,Gantry Crane,Rail Siding 3,8.0,46128,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1539,2026-04-03 02:47,CON-17,Container Handler,Intermodal Ramp,9.7,20070,Washdown runoff captured by the oil-water separator drain,0,None,None
LOG-1540,2026-04-03 21:00,TER-62,Terminal Tractor,Intermodal Ramp,10.8,35547,Hydraulic fluid pooled across the marked walking route and left unattended,1,housekeeping,1910.22
LOG-1541,2026-04-02 09:11,CON-31,Container Handler,Rail Siding 3,12.0,50666,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1542,2026-03-30 09:06,YAR-57,Yard Hostler,Main Pedestrian Crosswalk,8.0,53805,Damaged sling removed from service and destroyed,0,None,None
LOG-1543,2026-04-02 09:33,FOR-74,Forklift,Bay 2,7.7,34330,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1544,2026-04-03 03:52,TER-17,Terminal Tractor,Main Pedestrian Crosswalk,8.9,25501,Stair run to the dispatch office in use with the handrail detached,1,stairway,1910.25
LOG-1545,2026-04-02 09:55,YAR-86,Yard Hostler,Intermodal Ramp,9.0,39005,Relief crew arrived and the covered train employee was released on schedule,0,None,None
LOG-1546,2026-04-01 15:54,FOR-58,Forklift,High-Voltage Line B,10.5,37008,Platform guardrail measured at forty-two inches and found compliant,0,None,None
LOG-1547,2026-04-02 19:24,YAR-79,Yard Hostler,Main Pedestrian Crosswalk,11.9,16898,No exception noted,0,None,None
LOG-1548,2026-04-03 04:44,TER-37,Terminal Tractor,High-Voltage Line B,11.7,17663,No exception noted,0,None,None
LOG-1549,2026-04-03 14:06,FOR-41,Forklift,Loading Dock 2,10.8,12281,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1550,2026-03-30 18:40,TER-69,Terminal Tractor,Maintenance Track,8.7,38000,No exception noted,0,None,None
LOG-1551,2026-03-30 00:22,TER-42,Terminal Tractor,High-Voltage Line B,9.2,27141,No exception noted,0,None,None
LOG-1552,2026-03-31 22:24,CON-35,Container Handler,Maintenance Track,10.3,41185,Container transferred and seals verified against the manifest,0,None,None
LOG-1553,2026-04-03 15:02,TER-57,Terminal Tractor,Rail Siding 3,6.4,61092,No exception noted,0,None,None
LOG-1554,2026-03-30 00:28,GAN-27,Gantry Crane,Wheel Shop,11.6,11484,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1555,2026-04-02 11:45,CON-59,Container Handler,Container Stack Row C,10.2,34388,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1556,2026-03-31 22:52,CON-40,Container Handler,Bay 4,9.9,37370,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1557,2026-03-30 19:08,YAR-92,Yard Hostler,Main Pedestrian Crosswalk,6.8,27976,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1558,2026-04-01 08:24,REA-29,Reach Stacker,Bay 4,10.8,43307,Employee working the open edge of the stack with no arrest system attached,1,fall_protection,1910.28
LOG-1559,2026-04-02 21:48,YAR-68,Yard Hostler,Bay 2,8.0,27091,Container transferred and seals verified against the manifest,0,None,None
LOG-1560,2026-03-30 19:20,YAR-73,Yard Hostler,Rail Siding 3,10.4,52413,No exception noted,0,None,None
LOG-1561,2026-04-03 16:54,TER-60,Terminal Tractor,Bay 2,10.7,52867,No exception noted,0,None,None
LOG-1562,2026-04-02 03:40,GAN-62,Gantry Crane,Wheel Shop,10.3,32184,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1563,2026-03-31 23:41,FOR-72,Forklift,Bay 4,10.4,28701,No exception noted,0,None,None
LOG-1564,2026-04-01 18:36,GAN-40,Gantry Crane,Maintenance Track,7.9,38221,No exception noted,0,None,None
LOG-1565,2026-04-03 08:25,YAR-79,Yard Hostler,Maintenance Track,6.6,28167,Fixed ladder to the ramp platform in use with two rungs missing,1,ladder,1910.23
LOG-1566,2026-03-31 05:10,REA-34,Reach Stacker,Maintenance Track,8.0,60403,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1567,2026-03-30 00:54,GAN-71,Gantry Crane,Rail Siding 3,11.9,54819,No exception noted,0,None,None
LOG-1568,2026-04-02 23:36,REA-64,Reach Stacker,Bay 1,7.9,48156,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1569,2026-04-01 09:52,CON-61,Container Handler,High-Voltage Line B,7.1,14335,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1570,2026-04-04 04:30,TER-73,Terminal Tractor,Bay 2,7.3,36419,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1571,2026-04-02 14:41,FOR-24,Forklift,Bay 2,11.0,58313,No exception noted,0,None,None
LOG-1572,2026-03-30 01:04,TER-52,Terminal Tractor,Bay 4,11.1,12158,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1573,2026-04-02 05:30,REA-92,Reach Stacker,Maintenance Track,6.8,18247,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1574,2026-04-02 15:14,GAN-87,Gantry Crane,Loading Dock 2,7.8,46953,No exception noted,0,None,None
LOG-1575,2026-04-02 05:50,GAN-73,Gantry Crane,High-Voltage Line B,11.6,31888,Panel left open with energised parts exposed to the walkway,1,live_parts,1910.303
LOG-1576,2026-04-03 20:24,GAN-70,Gantry Crane,Main Pedestrian Crosswalk,8.8,39542,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1577,2026-03-31 15:42,GAN-11,Gantry Crane,Intermodal Ramp,6.9,61896,Washdown runoff captured by the oil-water separator drain,0,None,None
LOG-1578,2026-03-30 20:32,TER-40,Terminal Tractor,Container Stack Row C,8.6,53324,No exception noted,0,None,None
LOG-1579,2026-03-30 10:57,YAR-88,Yard Hostler,Bay 1,9.7,59817,No exception noted,0,None,None
LOG-1580,2026-03-30 11:00,CON-69,Container Handler,Bay 2,7.1,57174,No exception noted,0,None,None
LOG-1581,2026-04-03 21:34,YAR-96,Yard Hostler,Container Stack Row C,6.6,45056,No exception noted,0,None,None
LOG-1582,2026-03-30 20:48,CON-44,Container Handler,Wheel Shop,8.8,50580,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1583,2026-03-31 16:18,GAN-94,Gantry Crane,Maintenance Track,10.3,53318,Rim wheel deflated and seated in the restraining device before service,0,None,None
LOG-1584,2026-03-31 06:40,FOR-27,Forklift,Bay 1,10.9,54826,Gantry inspection current and the limit switch function-tested,0,None,None
LOG-1585,2026-03-31 06:45,TER-56,Terminal Tractor,Rail Siding 3,8.2,21179,No exception noted,0,None,None
LOG-1586,2026-04-01 02:22,REA-88,Reach Stacker,Bay 2,8.7,26525,No exception noted,0,None,None
LOG-1587,2026-03-31 06:55,CON-31,Container Handler,Wheel Shop,10.4,30255,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1588,2026-04-01 22:12,YAR-15,Yard Hostler,Bay 4,12.5,53568,Freight train employee remained in covered service through relief delay,1,duty_limit,21103
LOG-1589,2026-04-02 08:10,GAN-63,Gantry Crane,High-Voltage Line B,9.5,63840,Junction box cover missing and live conductors reachable from the aisle,1,live_parts,1910.303
LOG-1590,2026-04-03 04:00,GAN-44,Gantry Crane,Loading Dock 2,10.1,49519,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1591,2026-03-30 01:42,YAR-47,Yard Hostler,Container Stack Row C,10.5,14067,Worker on the container roof at eight feet with no fall protection rigged,1,fall_protection,1910.28
LOG-1592,2026-03-30 01:44,YAR-98,Yard Hostler,Bay 1,11.0,24958,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1593,2026-03-30 21:32,REA-20,Reach Stacker,Rail Siding 3,7.0,19099,Guardrail height and toeboard verified during inspection,0,None,None
